name,description
Fenway-Kenmore,"Fenway–Kenmore is an official neighborhood of Boston, Massachusetts. While it is considered one neighborhood for administrative purposes, it is composed of numerous distinct sections (East Fenway, West Fenway, Audubon Circle, Kenmore Square) that, in casual conversation, are almost alwas refeed to as Fenwa, Knmore Suare, or Kenmore. Furthermore, the Fenway neighborhood is divided into two sub-neighborhoods commonly referred to as East Fenway/Symphony and West Fenway."
Hyde Park,"Hyde Park is a dissolved municipality and currently the southernmost neighborhood of Boston, Massachusetts, United States. Hyde Park is home to a diverse range of people, housing types and social groups. It is an urban location with suburban characteristics. Hyde Park is covered by Boston Police Department District E-18 located in Cleary Square, and the Boston Fire Department station on Fairmount Avenue is the quarters of Ladder Company 28 & Engine Company 48. Boston EMS Ambulance Station 18 is located on Dana Avenue. Hyde Park also has a branch of the Boston Public Library."
Jamaica Plain,"Jamaica Plain is a historic neighborhood 4.4 square miles (11 km2) in Boston, Massachusetts. Founded by Boston Puritans seeking farm land to the south, it was originally part of the town of Roxbury. The community seceded from Roxbury as a part of the new town of West Roxbury in 1851, and became part of Boston when West Roxbury was annexed to Boston in 1874. The oldest community theatre in the US, Footlight Club is located in this neighborhood. In the 19th century, Jamaica Plain became one of the first streetcar suburbs in America and home to a significant portion of Boston's Emerald Necklace of parks, designed by Frederick Law Olmsted. According to the 2010 Census, it had a population of 37,468."
Mattapan,"Mattapan is a neighborhood in Boston, Massachusetts. Historically a section of neighboring Dorchester, Mattapan became a part of Boston when Dorchester was annexed in 1870. As of the 2010 census, it had a population of 36,480. Like other neighborhoods of the late 19th and early 20th century, Mattapan developed, residentially and commercially, as the railroads and streetcars made downtown Boston increasingly accessible. Predominantly residential, Mattapan is a mix of public housing, small apartment buildings, single-family houses, and two- and three-family houses known locall asThree-Deckersor Triple-Deckers). Blue Hill Avenue and Mattapan Square, where Blue Hill Avenue, River Street, and Cummins Highway meet, are the commercial heart of the neighborhood, home to banks, law offices, restaurants, and retail shops. The new Mattapan Branch of the Boston Public library opened 2009, at a cost of more than $4 million."
Mission Hill,"Mission Hill is a 3/4 square mile neighborhood of Boston, with the population of approximately 18,000 people. The neighborhood is roughly bounded by Columbus Avenue and the Boston neighborhood of Roxbury to the east, Ruggles Street to the northeast and the Olmsted designed Riverway/Jamaicaway and the town of Brookline to the west. The Historic District is roughly bounded by Smith Street, Worthington Street, Tremont Street (to the south), and Huntington Avenue (to the west). It is immediately north of the Boston neighborhood of Jamaica Plain. It is served by the MBTA Green Line E Branch and the Orange Line and is within walking distance of the Musum of Fne Arts. The Hill overlaps with about half of the Longwood Medical and Academic Area, home to 21 health care, research, education institutions and are responsible for the largest employment area in the City of Boston outside of downtown. Due to these adjacencies, the neighborhood is often struggling with institutional growth taking residential buildings and occupying storefront commercial space. But recent years have seen new retail stores, restaurants, and residential development giving the neighborhood a stronger political voice and identity, as some of the educational institutions have made commitments to house all or most of their undergraduate students in newly erected campus housing, including high-rise dormitories."
North End,"The North End is a neighborhood of Boston, Massachusetts, United States. It has the distinction of being the city's oldest residential community, where people have continuously inhabited since it was settled in the 1630s. Though small, only 0.36 square miles (0.93 km2), the neighborhood has nearly one hundred establishments and a variety of tourist attractions. It is known for its Italian American population."
Roslindale,"Roslindale is a primarily residential neighborhood of Boston, Massachusetts, bordered by Jamaica Plain, Hyde Park, West Roxbury and Mattapan. It is served by an MBTA Commuter Rail line, several MBTA bus lines and the MBTA Orange Line in nearby Jamaica Plain. Roslindale has its own branch of the Boston Public Library, the neighborhood is covered by Boston Police District E-5 in West Roxbury, Boston EMS Ambulance 17 is stationed in Roslindale, and the Boston Fire Department has a station on Canterbury Street which houses Ladder 16, Engine 53 & District Chief 12. Roslindale's original fire company, Engine 45, was deactivated on April 10, 1981 due to budget cuts. The portion of the Arnold Arboretum south of Bussey Street is located in Roslindale."
Roxbury,"Roxbury is a dissolved municipality and current neighborhood of Boston, Massachusetts, U.S. It was one of the first towns founded in the Massachusetts Bay Colony in 1630, and became a city in 1846 until annexed to Boston on January 5, 1868. The original town of Roxbury once included the current Boston neighborhoods of Jamaica Plain, Roslindale, West Roxbury, the South End and much of Back Bay. Roxbury now generally ends at Hammond St, Davenport St to the east and East Lenox St/Melnea Cass Boulevard to the south."
South Boston,"South Boston is a densely populated neighborhood of Boston, Massachusetts, located south and east of the Fort Point Channel and abutting Dorchester Bay. One of the oldest and most historic neighborhoods in the US, South Boston is most popularly known as Southie. Although still popularly known as a working class Irish-American neighborhood, it is also home to the Boston area's small but vibrant Polish and Lithuanian communities, and its demographics are rapidly changing. South Boston contains Dorchester Heights, where George Washington forced British troops to evacuate during the American Revolutionary War. South Boston's real estate market has exploded in recent years and South Boston has seen property values join the highest in the city."
South End,"The South End lies south of the Back Bay, northwest of South Boston, northeast of Roxbury, north of Dorchester, and southwest of Bay Village. Despite the name, it is not directly south of the center of downtown Boston. The neighborhood is built upon a former tidal marsh, a part of a larger project of the filling of Boston's Back Bay (north and west of Washington Street) and South Bay (south and east of Washington Street), from the 1830s to the 1870s. Fill was brought in by trains from large trenches of gravel excavated in Needham, Massachusetts. The South End was filled and developed first, before the Back Bay which was mostly built after the American Civil War. Nineteenth century technology did not allow for driving steel piles into bedrock and instead a system of submerged timbers provided an understructure for most South End buildings.[2] Recent decreases in underground water levels have caused damage to some wood pilings by exposing them to air. A series of monitoring wells have been drilled and the water level is now checked by the Boston Groundwater Trust,[3] and can be adjusted by the introduction of water."
West End,"The West End is a neighborhood of Boston, Massachusetts, bounded generally by Cambridge Street to the south, the Charles River to the west and northwest, North Washington Street on the north and northeast, and New Sudbury Street on the east. Beacon Hill is to the south, and the North End is to the east. The area is widely known because a late 1950s urban renewal project razed a large Italian and Jewish neighborhood to redevelop the area."
West Roxbury,"West Roxbury is a neighborhood in Boston bordered by Roslindale to the northeast, the Town of Dedham to the west and south, the Town of Brookline to the north, and the City of Newton to the west. West Roxbury is often mistakenly confused with Roxbury, but the two are not connected. West Roxbury is separated from Roxbury by Jamaica Plain and Roslindale. It is often referred to as a suburb within the city."
